Abrahámovce;Bardejov;Prešovský kraj
Andrejová;Bardejov;Prešovský kraj
Abrahám;Galanta;Trnavský kraj
Adidovce;Humenné;Prešovský kraj
Abrahámovce;Kežmarok;Prešovský kraj
Ábelová;Lu?enec;Banskobystrický kraj
Alekšince;Nitra;Nitriansky kraj
Andovce;Nové Zámky;Nitriansky kraj
Abranovce;Prešov;Prešovský kraj
Abovce;Rimavská Sobota;Banskobystrický kraj
Ardovo;Rož?ava;Košický kraj
Arnutovce;Spišská Nová Ves;Košický kraj
Ardanovce;Topo??any;Nitriansky kraj
Adamovské Kochanovce;Tren?ín;Tren?iansky kraj
Abramová;Tur?ianske Teplice;Žilinský kraj
Babie;Vranov nad Top?ou;Prešovský kraj
Babiná;Zvolen;Banskobystrický kraj
Babindol;Nitra;Nitriansky kraj
Babinec;Rimavská Sobota;Banskobystrický kraj
Babín;Námestovo;Žilinský kraj
Bacúch;Brezno;Banskobystrický kraj
Bacúrov;Zvolen;Banskobystrický kraj
Ba?ka;Trebišov;Košický kraj
Ba?kov;Trebišov;Košický kraj
Ba?kovík;Košice-okolie;Košický kraj
Badín;Banská Bystrica;Banskobystrický kraj
Ba?an;Banská Štiavnica;Banskobystrický kraj
Bajany;Michalovce;Košický kraj
Baj?;Komárno;Nitriansky kraj
Bajerov;Prešov;Prešovský kraj
Bajerovce;Sabinov;Prešovský kraj
Bajka;Levice;Nitriansky kraj
Bajtava;Nové Zámky;Nitriansky kraj
Baka;Dunajská Streda;Trnavský kraj
Baláže;Banská Bystrica;Banskobystrický kraj
Baldovce;Levo?a;Prešovský kraj
Balog nad Ip?om;Ve?ký Krtíš;Banskobystrický kraj
Balo?;Dunajská Streda;Trnavský kraj
Banka;Pieš?any;Trnavský kraj
Banská Belá;Banská Štiavnica;Banskobystrický kraj
Banská Bystrica;Banská Bystrica;Banskobystrický kraj
Banská Štiavnica;Banská Štiavnica;Banskobystrický kraj
Banské;Vranov nad Top?ou;Prešovský kraj
Banský Studenec;Banská Štiavnica;Banskobystrický kraj
Ba?a;Stropkov;Prešovský kraj
Bara;Trebišov;Košický kraj
Barca;Rimavská Sobota;Banskobystrický kraj
Bardejov;Bardejov;Prešovský kraj
Bardo?ovo;Nové Zámky;Nitriansky kraj
Bartošova Lehôtka;Žiar nad Hronom;Banskobystrický kraj
Bartošovce;Bardejov;Prešovský kraj
Baška;Košice-okolie;Košický kraj
Baškovce;Humenné;Prešovský kraj
Baškovce;Sobrance;Košický kraj
Bašovce;Pieš?any;Trnavský kraj
Batizovce;Poprad;Prešovský kraj
Báb;Nitra;Nitriansky kraj
Bá?;Dunajská Streda;Trnavský kraj
Bádice;Nitra;Nitriansky kraj
Báho?;Pezinok;Bratislavský kraj
Bánov;Nové Zámky;Nitriansky kraj
Bánovce nad Bebravou;Bánovce nad Bebravou;Tren?iansky kraj
Bánovce nad Ondavou;Michalovce;Košický kraj
Bátka;Rimavská Sobota;Banskobystrický kraj
Bátorová;Ve?ký Krtíš;Banskobystrický kraj
Bátorove Kosihy;Komárno;Nitriansky kraj
Bátovce;Levice;Nitriansky kraj
Beckov;Nové Mesto nad Váhom;Tren?iansky kraj
Beharovce;Levo?a;Prešovský kraj
Becherov;Bardejov;Prešovský kraj
Belá;Nové Zámky;Nitriansky kraj
Belá;Žilina;Žilinský kraj
Belá-Dulice;Martin;Žilinský kraj
Belá nad Cirochou;Snina;Prešovský kraj
Beladice;Zlaté Moravce;Nitriansky kraj
Belejovce;Svidník;Prešovský kraj
Belín;Rimavská Sobota;Banskobystrický kraj
Belina;Lu?enec;Banskobystrický kraj
Belince;Topo??any;Nitriansky kraj
Bellova Ves;Dunajská Streda;Trnavský kraj
Beloveža;Bardejov;Prešovský kraj
Beluj;Banská Štiavnica;Banskobystrický kraj
Beluša;Púchov;Tren?iansky kraj
Belža;Košice-okolie;Košický kraj
Beniakovce;Košice-okolie;Košický kraj
Benice;Martin;Žilinský kraj
Benkovce;Vranov nad Top?ou;Prešovský kraj
Be?adiková;Liptovský Mikuláš;Žilinský kraj
Be?adikovce;Svidník;Prešovský kraj
Be?adovo;Námestovo;Žilinský kraj
Be?atina;Sobrance;Košický kraj
Be?uš;Brezno;Banskobystrický kraj
Bernolákovo;Senec;Bratislavský kraj
Bertotovce;Prešov;Prešovský kraj
Beša;Levice;Nitriansky kraj
Beša;Michalovce;Košický kraj
Beše?ov;Nové Zámky;Nitriansky kraj
Beše?ová;Ružomberok;Žilinský kraj
Betlanovce;Spišská Nová Ves;Košický kraj
Betliar;Rož?ava;Košický kraj
Bežovce;Sobrance;Košický kraj
Bidovce;Košice-okolie;Košický kraj
Biel;Trebišov;Košický kraj
Bielovce;Levice;Nitriansky kraj
Biely Kostol;Trnava;Trnavský kraj
Bijacovce;Levo?a;Prešovský kraj
Biskupice;Lu?enec;Banskobystrický kraj
Biskupová;Topo??any;Nitriansky kraj
Bitarová;Žilina;Žilinský kraj
Bílkove Humence;Senica;Trnavský kraj
Bí?a;Nové Zámky;Nitriansky kraj
Bí?ovce;Trnava;Trnavský kraj
Blahová;Dunajská Streda;Trnavský kraj
Blatná na Ostrove;Dunajská Streda;Trnavský kraj
Blatná Polianka;Sobrance;Košický kraj
Blatné;Senec;Bratislavský kraj
Blatné Remety;Sobrance;Košický kraj
Blatné Revištia;Sobrance;Košický kraj
Blatnica;Martin;Žilinský kraj
Blažice;Košice-okolie;Košický kraj
Blažovce;Tur?ianske Teplice;Žilinský kraj
Blesovce;Topo??any;Nitriansky kraj
Blhovce;Rimavská Sobota;Banskobystrický kraj
Bobot;Tren?ín;Tren?iansky kraj
Bobrov;Námestovo;Žilinský kraj
Bobrov?ek;Liptovský Mikuláš;Žilinský kraj
Bobrovec;Liptovský Mikuláš;Žilinský kraj
Bobrovník;Liptovský Mikuláš;Žilinský kraj
Bo?iar;Košice-okolie;Košický kraj
Bodíky;Dunajská Streda;Trnavský kraj
Bodiná;Považská Bystrica;Tren?iansky kraj
Bodorová;Tur?ianske Teplice;Žilinský kraj
Bodovce;Sabinov;Prešovský kraj
Bodružal;Svidník;Prešovský kraj
Bodza;Komárno;Nitriansky kraj
Bodzianske Lúky;Komárno;Nitriansky kraj
Bogliarka;Bardejov;Prešovský kraj
Bohdanovce;Košice-okolie;Košický kraj
Bohdanovce nad Trnavou;Trnava;Trnavský kraj
Bohe?ov;Dunajská Streda;Trnavský kraj
Bohunice;Ilava;Tren?iansky kraj
Bohunice;Levice;Nitriansky kraj
Bohú?ovo;Rož?ava;Košický kraj
Bojná;Topo??any;Nitriansky kraj
Bojnice;Prievidza;Tren?iansky kraj
Bojni?ky;Hlohovec;Trnavský kraj
Boldog;Senec;Bratislavský kraj
Boleráz;Trnava;Trnavský kraj
Bolešov;Ilava;Tren?iansky kraj
Boliarov;Košice-okolie;Košický kraj
Bo?;Trebišov;Košický kraj
Bo?kovce;Lu?enec;Banskobystrický kraj
Borcová;Tur?ianske Teplice;Žilinský kraj
Bor?any;Bánovce nad Bebravou;Tren?iansky kraj
Bor?ice;Ilava;Tren?iansky kraj
Borinka;Malacky;Bratislavský kraj
Borová;Trnava;Trnavský kraj
Borovce;Pieš?any;Trnavský kraj
Borský Mikuláš;Senica;Trnavský kraj
Borský Svätý Jur;Senica;Trnavský kraj
Borša;Trebišov;Košický kraj
Bory;Levice;Nitriansky kraj
Bošáca;Nové Mesto nad Váhom;Tren?iansky kraj
Bošany;Partizánske;Tren?iansky kraj
Bottovo;Rimavská Sobota;Banskobystrický kraj
Bo?any;Trebišov;Košický kraj
Bôrka;Rož?ava;Košický kraj
Bracovce;Michalovce;Košický kraj
Bran?;Nitra;Nitriansky kraj
Branovo;Nové Zámky;Nitriansky kraj
Bratislava;Bratislava I;Bratislavský kraj
;Bratislava II;
;Bratislava III;
;Bratislava IV;
;Bratislava V;
Braväcovo;Brezno;Banskobystrický kraj
Brdárka;Rož?ava;Košický kraj
Brehov;Trebišov;Košický kraj
Brehy;Žarnovica;Banskobystrický kraj
Brekov;Humenné;Prešovský kraj
Brestov;Humenné;Prešovský kraj
Brestov;Prešov;Prešovský kraj
Brestov nad Laborcom;Medzilaborce;Prešovský kraj
Brestovany;Trnava;Trnavský kraj
Brestovec;Myjava;Tren?iansky kraj
Brestovec;Komárno;Nitriansky kraj
Bretejovce;Prešov;Prešovský kraj
Bretka;Rož?ava;Košický kraj
Breza;Námestovo;Žilinský kraj
Brezany;Žilina;Žilinský kraj
Brezina;Trebišov;Košický kraj
Breziny;Zvolen;Banskobystrický kraj
Breznica;Stropkov;Prešovský kraj
Brezni?ka;Poltár;Banskobystrický kraj
Brezni?ka;Stropkov;Prešovský kraj
Brezno;Brezno;Banskobystrický kraj
Brezolupy;Bánovce nad Bebravou;Tren?iansky kraj
Brezov;Bardejov;Prešovský kraj
Brezová pod Bradlom;Myjava;Tren?iansky kraj
Brezovec;Snina;Prešovský kraj
Brezovica;Sabinov;Prešovský kraj
Brezovica;Tvrdošín;Žilinský kraj
Brezovi?ka;Sabinov;Prešovský kraj
Brezovka;Bardejov;Prešovský kraj
Brežany;Prešov;Prešovský kraj
Brhlovce;Levice;Nitriansky kraj
Brieštie;Tur?ianske Teplice;Žilinský kraj
Brodské;Skalica;Trnavský kraj
Brodzany;Partizánske;Tren?iansky kraj
Brunovce;Nové Mesto nad Váhom;Tren?iansky kraj
Brusnica;Stropkov;Prešovský kraj
Brusník;Ve?ký Krtíš;Banskobystrický kraj
Brusno;Banská Bystrica;Banskobystrický kraj
Brutovce;Levo?a;Prešovský kraj
Bruty;Nové Zámky;Nitriansky kraj
Brvnište;Považská Bystrica;Tren?iansky kraj
Brzotín;Rož?ava;Košický kraj
Buclovany;Bardejov;Prešovský kraj
Bu?any;Trnava;Trnavský kraj
Bud?a;Zvolen;Banskobystrický kraj
Budikovany;Rimavská Sobota;Banskobystrický kraj
Budimír;Košice-okolie;Košický kraj
Budiná;Lu?enec;Banskobystrický kraj
Budince;Michalovce;Košický kraj
Budiš;Tur?ianske Teplice;Žilinský kraj
Budkovce;Michalovce;Košický kraj
Budmerice;Pezinok;Bratislavský kraj
Buglovce;Levo?a;Prešovský kraj
Buková;Trnava;Trnavský kraj
Bukovce;Stropkov;Prešovský kraj
Bukovec;Košice-okolie;Košický kraj
Bukovec;Myjava;Tren?iansky kraj
Bukovina;Liptovský Mikuláš;Žilinský kraj
Bulhary;Lu?enec;Banskobystrický kraj
Bunetice;Košice-okolie;Košický kraj
Bunkovce;Sobrance;Košický kraj
Bušince;Ve?ký Krtíš;Banskobystrický kraj
Bušovce;Kežmarok;Prešovský kraj
Buzica;Košice-okolie;Košický kraj
Buzitka;Lu?enec;Banskobystrický kraj
Bú?;Komárno;Nitriansky kraj
Bystrá;Brezno;Banskobystrický kraj
Bystrá;Stropkov;Prešovský kraj
Bystrany;Spišská Nová Ves;Košický kraj
Bystré;Vranov nad Top?ou;Prešovský kraj
Bystri?any;Prievidza;Tren?iansky kraj
Bystri?ka;Martin;Žilinský kraj
Byšta;Trebišov;Košický kraj
Byt?a;Byt?a;Žilinský kraj
Bzenica;Žiar nad Hronom;Banskobystrický kraj
Bzenov;Prešov;Prešovský kraj
Bzince pod Javorinou;Nové Mesto nad Váhom;Tren?iansky kraj
Bziny;Dolný Kubín;Žilinský kraj
Bzovík;Krupina;Banskobystrický kraj
Bzovská Lehôtka;Zvolen;Banskobystrický kraj
Bžany;Stropkov;Prešovský kraj
Cabaj-?ápor;Nitra;Nitriansky kraj
Cabov;Vranov nad Top?ou;Prešovský kraj
Cakov;Rimavská Sobota;Banskobystrický kraj
